,content
3,"Pitched way outside leg, and much slower through the air. It lands and spins sharply into the batter to hit the splice of the bat as Bashir leans ahead to defend."
6,"Just over the stumps! Turning away, landing around leg. Bashir backs away to defend. Spins past the bat and goes over the off stump."
7,Spots Carse backing away and Akash bowls it well away from the batter's reach on the off side. Brydon Carse cannot reach and lets it go.
9,"NO BALL AND FOUR! On a nagging length, outside off, Brydon Carse swings for the hills as he looks to park it down the ground. Gets an outside edge that flies over the slip cordon for a boundary. Deep has overstepped."
17,"Lobbed to first slip and taken! Given out but successfully overturned by Shoaib Bashir. Pushed through from around the wicket, landing outside the line of the leg stump, Shoaib Bashir gets inside the line for the scoop. The ball sneaks past the bat and lobs off the pad towards first slip where KL Rahul takes it. The finger is raised but Bashir takes the review straight away. The UltraEdge shows no bat and the decision is overturned."
29,"Around the stumps, slowish delivery on a length. Slides on middle with some bounce and Josh negotiates well to dab it on the pitch."
31,"Outside leg, turning away on a length. Carse hangs back and pads it away."
34,"Good-length delivery, on off, Josh Tongue blocks it on the bounce to Siraj who grabs it over his head."
40,"Pushed through, on the leg stump, Tongue keeps it out to the leg side."
41,"BEATEN! Lands on the leg stump, and it rips across the batter to beat the bat of Tongue."
51,"One more that bites off the rough, outside leg, and spins across the stumps. It beats the bat of Josh Tongue who goes back and across to deal with it and is rapped on the pad. A gentle appeal for LBW, but the umpire Chris Gaffaney denies with a smile on his face."
52,"That spun prodigiously! Lands it outside leg, giving the ball more air, and it spins across the batter and beats Josh on the outside edge."
55,"Lifts off the rough, outside leg, spinning away from the batter. Josh Tongue just about manages to fend it to the off side with soft hands."
60,"Length, on off, dabbed to wide gully."
62,"Drags the length back, outside leg. Tongue goes back and across to dab it down to the pitch."
65,"CHANCE, PUT DOWN! KL Rahul drops a sharp catch! Jadeja lands it on the rough outside leg again, and gets a good grip from there as the ball turns sharply across the batter. Brydon Carse plays at it and gets a thick outside edge, and goes to the left of KL Rahul. Rahul there is a bit late to react and is probably beaten by the pace at which the ball came at him. Drags his both hands towards the ball, but puts it down eventually. The ball rolls behind and they cross."
69,"BEAUTY! Just shapes into the batter, on a length, and straightens up a bit, on off. Josh Tongue is caught in the crease and plays away from the body to poke at it. Gets beaten on the outside edge by a whisker."
70,"Hits the deck hard, on top of middle. Josh Tongue hops across and inside the line to dab it onto the pitch."
74,"Shortish and down leg, Josh Tongue stays inside the line and lets it be."
82,"Tighter line, on middle, on a hard length, Brydon Carse rises with the bounce and fends it down."
84,"Hits the bat hard and rushes the batter, on a shortish length, around off, Brydon Carse waits back to push it away on the off side. The ball hits the splice of the bat and rolls down the deck."
89,"Lands it on a hard length, on off, Brydon Carse rises with the bounce and guides it down towards gully."
101,"A well-directed bumper at the badge of the helmet, Chris Woakes ducks under it."
102,"Akash goes into the wicket again, around off, Woakes seemed to be shaping up for the duck intially before opting to stay upright and fend it down."
106,"Outside off, on a length, Chris Woakes gets forward and taps it back to the bowler."
112,"On middle and leg, on a length, Woakes is right behind it in defence."
123,"A bit of inward shape, on off, on a length, Woakes gets behind the line and pats it down the deck."
129,"From around the wicket, landing outside the line of the leg stump. Chris Woakes shoulders arms and lets the ball hit his pads. Half a shout for LBW but that certainly pitched outside leg."
130,"On off, on a nagging length, Woakes gets back to block."
131,"On middle, Woakes presses back to block."
138,"Around leg, kept out on the leg side."
140,"Turning away from the rough, on a leg, Jamie plays the line and gets beaten all ends up as the ball rips across to go past the bat and goes onto hit the right pad of Rishabh Pant."
146,"On off, on a length, Woakes gets his bat out in front of the front pad."
149,"A bit of loop on this one, on middle, knocked back to the bowler."
152,"Turning away, on middle, on a nagging length, Woakes waits back to block."
161,"Landing outside leg, on a length, Woakes pads it away."
170,"Slanting in, on the pads, Ben dabs it down on the leg side."
173,"Slower through the air, on a nagging length, around leg, Smith pushes it back to the bowler."
177,"Pushed through, on middle, Ben Stokes leans ahead to block. The ball kicks up a bit to hit the upper half of the bat but Stokes manages to keep it down."
179,"Sliding on with the arm, on middle, Ben goes right back to push it back to Sundar."
