match_id,format,team_1,team_2,description,team_1_runs,team_1_wickets,team_1_overs,team_2_runs,team_2_wickets,team_2_overs,match_info
120159,ODI,CAN,ZIM-A,Zimbabwe A beat Canada by 4 wickets,231,9,50,232,6,41.1,1st unofficial ODI
120189,T20I,CAN,NAM,Namibia beat Canada by 3 wickets,145,8,15,146,7,15,Match 2
120191,T20I,CAN,NAM,Namibia beat Canada by 10 wickets (DLS method),42,7,13,42,0,2.4,Match 4
120192,T20I,CAN,NAM,Namibia beat Canada by 8 wickets,142,7,20,143,2,15.2,Match 5
120194,T20I,PAK,NZ,New Zealand beat Pakistan by 9 wickets,91,10,18.4,92,1,10.1,1st T20I
120195,T20I,PAK,NZ,New Zealand beat Pakistan by 5 wickets,135,9,15,137,5,13.1,2nd T20I
120196,T20I,NZ,PAK,Pakistan beat New Zealand by 9 wickets,204,10,19.5,207,1,16,3rd T20I
120197,T20I,NZ,PAK,New Zealand beat Pakistan by 115 runs,220,6,20,105,10,16.2,4th T20I
120198,T20I,PAK,NZ,New Zealand beat Pakistan by 8 wickets,128,9,20,131,2,10,5th T20I
120199,ODI,NZ,PAK,New Zealand beat Pakistan by 73 runs,344,9,50,271,10,44.1,1st ODI
120200,ODI,NZ,PAK,New Zealand beat Pakistan by 84 runs,292,8,50,208,10,41.2,2nd ODI
120201,ODI,NZ,PAK,New Zealand beat Pakistan by 43 runs,264,8,42,221,10,40,3rd ODI
120402,ODI,NED,NAM,Netherlands beat Namibia by 53 runs,159,10,39.1,106,10,30,Match 56
120403,ODI,CAN,NAM,Canada tied with Namibia (Canada win Super Over by 2 wickets),168,8,39,174,10,39,Match 57
120405,ODI,NAM,NED,Netherlands beat Namibia by 7 wickets,148,10,44.5,149,3,37,Match 59
120406,ODI,NAM,CAN,Namibia beat Canada by 12 runs (DLS method),186,10,49,154,10,42,Match 60
123628,T20I,SCO,ZAC,Scotland beat Zimbabwe Academy by 67 runs,194,5,20,127,9,20,2nd T20
123631,ODI,SCO,ZIM-A,Scotland beat Zimbabwe A by 7 runs,347,10,50,340,10,49,2nd unofficial ODI
123632,ODI,SCO,ZIM-A,Zimbabwe A beat Scotland by 8 wickets,85,10,20.3,86,2,17.3,3rd unofficial ODI
123637,TEST,BAN,ZIM,Zimbabwe beat Bangladesh by 3 wickets,191,10,61,273,10,80.2,1st Test
123638,TEST,ZIM,BAN,Bangladesh beat Zimbabwe by an innings and 106 runs,227,10,90.1,444,10,129.2,2nd Test
123774,T20I,BER,CAN,Canada beat Bermuda by 5 wickets,105,8,20,108,5,18.1,Match 2
123776,T20I,BER,CAY,Bermuda beat Cayman Islands by 30 runs,137,5,20,107,8,20,Match 4
123778,T20I,BER,USA,USA beat Bermuda by 10 wickets,70,10,16.3,71,0,5.4,Match 6
123779,T20I,CAN,CAY,Canada beat Cayman Islands by 94 runs,165,6,20,71,10,17.1,Match 7
123781,T20I,CAN,USA,Canada beat USA by 17 runs,184,7,20,167,8,20,Match 10
123783,T20I,BER,USA,USA beat Bermuda by 10 wickets,114,7,20,115,0,14,2nd Semi-Final
123786,T20I,CAN,USA,USA beat Canada by 6 wickets,168,9,20,169,4,19.1,Final
124493,ODI,UAE,SCO,SCO beat UAE by 3 wickets,225,9,50,226,7,46.2,Match 61
124494,ODI,NED,UAE,NED beat UAE by 113 runs,272,7,50,159,10,41.2,Match 62
124495,ODI,UAE,SCO,UAE beat SCO by 97 runs,296,6,50,199,10,43.3,Match 63
124496,ODI,NED,SCO,Netherlands beat Scotland by 19 runs,282,7,50,263,9,50,Match 64
124497,ODI,UAE,NED,NED beat UAE by 5 wickets,204,9,50,205,5,36,Match 65
124498,ODI,UAE,SCO,SCO beat UAE by 8 wickets,161,10,47.5,162,2,24.2,Match 66
124499,ODI,SCO,NED,Scotland beat Netherlands by 145 runs,380,9,50,235,10,42.1,Match 67
124503,ODI,CAN,OMN,Oman beat Canada by 18 runs (DLS method),212,10,48.4,108,3,23.1,Match 71
125493,T20I,BAN,UAE,BAN beat UAE by 27 runs,191,7,20,164,10,20,1st T20I
125494,T20I,BAN,UAE,UAE beat BAN by 2 wickets,205,5,20,206,8,19.5,2nd T20I
125697,ODI,IRE,WI,Ireland beat West Indies by 124 runs,303,6,50,179,10,34.1,1st ODI
125699,ODI,WI,IRE,West Indies beat Ireland by 197 runs (DLS method),385,7,50,165,10,29.5,3rd ODI
125702,T20I,WI,IRE,West Indies beat Ireland by 62 runs,256,5,20,194,7,20,3rd T20I
126220,TEST,ENG,ZIM,England beat Zimbabwe by an innings and 45 runs,565,6,96.3,265,10,63.2,One-off Test
126291,T20I,BAN,UAE,UAE beat BAN by 7 wickets,162,9,20,166,3,19.1,3rd T20I
126351,ODI,ENG,WI,England beat West Indies by 238 runs,400,8,50,162,10,26.2,1st ODI
126352,ODI,WI,ENG,England beat West Indies by 3 wickets,308,10,47.4,312,7,48.5,2nd ODI
