Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Python Developer,Leading Client,Pune,3-5 Yrs,"Education : BE in CS / IT, MSc CS, MCS, MCA ScienceResponsibilities :- Design, develop,...",https://www.naukri.com/job-listings-python-developer-basebiz-pune-3-to-5-years-030725916616,"Python, REST API, PostgreSQL, Django, MySQL, SQLite, ORM, AWS",2 days ago
Python Developer,Coditas Technologies,Hybrid - Pune,3-6 Yrs,Proven experience of 2-3 years as a Python developerexperience with one or more Python ...,https://www.naukri.com/job-listings-python-developer-coditas-technologies-pune-3-to-6-years-290525026070,"Django, Rest Api Development, Fast Api, Flask, Python, Azure Cloud, AWS, Machine Learning",2 days ago
Data Engineer,Capgemini,"Pune, Hyderabad, Bengaluru",4-9 Yrs,Job Description:Position: Data Engineer Location: Pan India Company: Capgemini Experie...,https://www.naukri.com/job-listings-data-engineer-capgemini-hyderabad-pune-bengaluru-4-to-9-years-040725019908,"Pyspark, Azure, AWS, Python, ETL, Microsoft Azure, Data Engineering, Data",1 day ago
Data Engineer,Coditas Technologies,Pune,2-6 Yrs,Minimum 2 years of progressive experience building solutions in Big Data environments,https://www.naukri.com/job-listings-data-engineer-coditas-technologies-pune-2-to-6-years-220525013411,"Pyspark, Azure Cloud, AWS, Python, SQL, Data Warehousing, Data Modeling, Warehouse",2 days ago
Sr Data Engineer,Hoffmann La Roche,Pune,3-5 Yrs,We are seeking a dynamic and experienced Technical Data Lead with SME-level knowledge i...,https://www.naukri.com/job-listings-sr-data-engineer-hoffmann-la-roche-pune-3-to-5-years-030725503743,"ERP, Data modeling, CMS, Agile, Engineering Manager, Healthcare, AWS, CRM",2 days ago
Dev Ops Engineer,Emerson,Pune,3-5 Yrs,"In this Role, Your Responsibilities Will Be: Responsible for installer bundle creati...",https://www.naukri.com/job-listings-dev-ops-engineer-emerson-innovation-center-pune-3-to-5-years-040725500942,"Computer science, Linux, Networking, Agile development, Cloud, Performance testing, Infrastructure, MongoDB",1 day ago
AWS Python Data Engineer -Virtual Interview-28th June,EY,"Hybrid - Pune, Chennai, Bengaluru",3-7 Yrs,"Hi, Urgent opening for AWS Python Data Engineer with EY GDS at Pan India Location.EXP :...",https://www.naukri.com/job-listings-aws-python-data-engineer-virtual-interview-28th-june-ey-pune-chennai-bengaluru-3-to-7-years-210625015633,"Pyspark, AWS, Python, SQL, Python Data, Data",2 weeks ago
Aws Data Engineer,Hiring for Leading MNC Company,"Hybrid - Pune, Hyderabad, Bengaluru",4-6 Yrs,Experience Required :4 to 6 yrs . Work Location :Bangalore / Pune/Hyderabad / Chennai R...,https://www.naukri.com/job-listings-aws-data-engineer-sp-staffing-hyderabad-pune-bengaluru-4-to-6-years-030725020869,"Pyspark, Glue, python, EMR, Aws Glue, Lambda Aws, Aws Emr, AWS Data Engineer",2 days ago
Aws Data Engineer,Hiring for Leading MNC Company,"Hybrid - Pune, Hyderabad, Bengaluru",4-6 Yrs,Experience Required :4 to 6 yrs . Work Location :Bangalore / Pune/Hyderabad / Chennai R...,https://www.naukri.com/job-listings-aws-data-engineer-sp-staffing-hyderabad-pune-bengaluru-4-to-6-years-050725011894,"Pyspark, Glue, python, EMR, Aws Glue, Lambda Aws, Aws Emr, AWS Data Engineer",Today
Developer - Data cloud,Wipro,Pune,2-7 Yrs,"Performance Parameter . Measure Continuous Integration, Deployment & Monitoring of Soft...",https://www.naukri.com/job-listings-developer-data-cloud-wipro-limited-pune-2-to-7-years-250625928991,"continuous integration, cloud development, root cause analysis, software development life cycle, mis, kubernetes, python, microsoft azure",1 week ago
