Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Junior Data Scientist,Talent Corner Hr Services,Pune,2-7 Yrs,Work with the founder and core team to build and optimize quant trading strategies. Use...,https://www.naukri.com/job-listings-junior-data-scientist-talent-corner-hr-services-pune-2-to-7-years-260625025152,"Data Cleanup, Pandas, Statistical Analyses, Machine Learning, Python, Data Pipeline, Algorithmic Trading, Stock Market",1 week ago
"Python Developer (Pandas ,Numpy)",Wintech Services,Hyderabad,5-8 Yrs,"Data Engineering concepts (PySpark, NumPy, Pandas, AWS Glue and Airflow) SQL (basic and...",https://www.naukri.com/job-listings-python-developer-pandas-numpy-wintech-services-hyderabad-5-to-8-years-030725021767,"Airflow, Pandas, AWS, Numpy, Python, Python Development, Development",2 days ago
Python Developer,Realizer Technologies,Pune,2-3 Yrs,"The candidate should be able to work with functional business analysts, business proces...",https://www.naukri.com/job-listings-python-developer-realizer-techonlogies-pune-2-to-3-years-280525503695,"python, css, natural language processing, python development, numpy, machine learning, artificial intelligence, javascript",3+ weeks ago
Python Developer,Centralogic,Pune,2-5 Yrs,"Skills Preferred: Data Analytics, PyTorch, LLMS, RAG, PANDAS . Qualification: Any - (BE...",https://www.naukri.com/job-listings-python-developer-centralogic-pune-2-to-5-years-240125501359,"python, css, data analytics, natural language processing, python development, numpy, machine learning, artificial intelligence",3+ weeks ago
Python Software Developer,Softcell Technologies,"Thane, Navi Mumbai, Mumbai (All Areas)",3-7 Yrs,"Education : Bachelors degree in Computer Science, Engineering, or a related field. Expe...",https://www.naukri.com/job-listings-python-software-developer-softcell-technologies-thane-navi-mumbai-mumbai-all-areas-3-to-7-years-310525014878,"SQL, NoSQL, Selenium, Regular Expressions, Problem Solving Skills, Scrapy, Numpy, Rabbitmq",2 days ago
Python Developer,Wipro,Hyderabad,2-6 Yrs,The purpose of this role is to develop minimum viable product (MVP) and comprehensive A...,https://www.naukri.com/job-listings-python-developer-wipro-limited-hyderabad-2-to-6-years-250625930457,"sql, python, python development, django framework, flask, css, django rest api, numpy",1 week ago
Python Developer,Leading Client,Mumbai,4-6 Yrs,"Develop and maintain applications using Python, focusing on building scalable, efficien...",https://www.naukri.com/job-listings-python-developer-teamware-solutions-a-division-of-quantum-leap-co-nsulting-private-ltd-mumbai-4-to-6-years-260625938801,"python, data analysis, python development, django, web development, css, natural language processing, numpy",1 week ago
Python Developer (Pandas),Leading Client,Mumbai,4-8 Yrs,Develop data processing applications using Python and Pandas. Optimize performance for ...,https://www.naukri.com/job-listings-python-developer-pandas-teamware-solutions-a-division-of-quantum-leap-co-nsulting-private-ltd-mumbai-4-to-8-years-260625939197,"python, data analysis, data processing, python development, pandas, css, natural language processing, numpy",1 week ago
Python Developer,Comvision,"Pune, Navi Mumbai, Gurugram",5-8 Yrs,ualifications . Bachelors or Masters degree in Computer Science or related field The id...,https://www.naukri.com/job-listings-python-developer-comvision-india-pvt-ltd-navi-mumbai-pune-gurugram-5-to-8-years-250625017315,"python developer, rest api, numpy panda, Mongo db, redis, SQL, Rabbit mq, django",1 week ago
Python Developer @bfsi investment Banking,Net Connect,"Hybrid - Bengaluru, Mumbai (All Areas)",4-9 Yrs,"Required Technical Skills: . Education: Bachelors degree in Computer Science, Software ...",https://www.naukri.com/job-listings-python-developer-bfsi-investment-banking-net-connect-bengaluru-mumbai-all-areas-4-to-9-years-190225023776,"Django, Pandas, Python, Flask, Javascript, Numpy, Investment, Development",1 week ago
