Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Senior Python Developer (Pandas and Numpy - Must),Atyeti,"Hybrid - Pune, Mumbai (All Areas)",4-9 Yrs,Working experience on APIs is a must . 4+ years of Total experience An extensive exper...,https://www.naukri.com/job-listings-senior-python-developer-pandas-and-numpy-must-atyeti-pune-mumbai-all-areas-4-to-9-years-010725014611,"OOPS, Pandas, Numpy, Python, Django, Flask, Development, Senior",4 days ago
AI/ML Developer,Oak Tree Software,Indore,3-8 Yrs,Oak Tree Software is looking for AI/ML Developer to join our dynamic team and embark on...,https://www.naukri.com/job-listings-ai-ml-developer-oak-tree-software-indore-3-to-8-years-020725502060,"innovation, python, data analytics, natural language processing, neural networks, aiml, machine learning, artificial intelligence",3 days ago
Machine Learning Engineer - pune- wfh,A CLIENT OF INSIGHT,Pune,3-8 Yrs,"3yrs exp in machine learning, AI eng, or related role Strong prog skills in Python, &ex...",https://www.naukri.com/job-listings-machine-learning-engineer-pune-wfh-insight-consultancy-services-pune-3-to-8-years-020725025815,"Tensorflow, Pytorch, Aiml, Machine Learning, Python, Pandas, Data Modeling, Numpy",3 days ago
Python Developer,Dynamic Vishva,Remote,1-3 Yrs,DYNAMIC VISHVA is looking for Python Developer to join our dynamic team and embark on a...,https://www.naukri.com/job-listings-python-developer-dynamic-vishva-remote-1-to-3-years-200625500846,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",2 weeks ago
Python Developer - AI & LLM Developer - Immediate Joiners Preferred,Celestiq Datatech,Pune,2-5 Yrs,Preferred candidate profile Were looking for a skilled Python Developer with strong han...,https://www.naukri.com/job-listings-python-developer-ai-llm-developer-immediate-joiners-preferred-celestiq-datatech-private-limited-pune-2-to-5-years-240625012702,"Natural Language Processing, Large Language Model, Django Framework, Python, Claude, LLM, Machine Learning, Numpy",1 week ago
Python Developer,Ambit Software,Pune,3-8 Yrs,Availability to work full timeRequirements: 3+ years of software development experience...,https://www.naukri.com/job-listings-python-developer-ambit-software-pune-3-to-8-years-260625033852,"Scrapy, API Extraction, Django, Spidermon, Python, API, Python Development, Extraction",3 days ago
AI Developer,SNS System,Remote,0-3 Yrs,"Expertise in AI Frameworks: You have hands-on experience with tools like TensorFlow, Py...",https://www.naukri.com/job-listings-ai-developer-sns-system-remote-0-to-3-years-020725503303,"Computer vision, deep learning, data science, GCP, Focus, Machine learning, Deployment, Natural language processing",3 days ago
Python Developer (Pandas),Leading Client,Mumbai,4-8 Yrs,Develop data processing applications using Python and Pandas. Optimize performance for ...,https://www.naukri.com/job-listings-python-developer-pandas-teamware-solutions-a-division-of-quantum-leap-co-nsulting-private-ltd-mumbai-4-to-8-years-260625939197,"python, data analysis, data processing, python development, pandas, css, natural language processing, numpy",1 week ago
Junior Data Scientist,Talent Corner Hr Services,Pune,2-7 Yrs,Work with the founder and core team to build and optimize quant trading strategies. Use...,https://www.naukri.com/job-listings-junior-data-scientist-talent-corner-hr-services-pune-2-to-7-years-260625025152,"Data Cleanup, Pandas, Statistical Analyses, Machine Learning, Python, Data Pipeline, Algorithmic Trading, Stock Market",1 week ago
"Python Developer (Pandas ,Numpy)",Wintech Services,Hyderabad,5-8 Yrs,"Data Engineering concepts (PySpark, NumPy, Pandas, AWS Glue and Airflow) SQL (basic and...",https://www.naukri.com/job-listings-python-developer-pandas-numpy-wintech-services-hyderabad-5-to-8-years-030725021767,"Airflow, Pandas, AWS, Numpy, Python, Python Development, Development",2 days ago
Python Developer,Realizer Technologies,Pune,2-3 Yrs,"The candidate should be able to work with functional business analysts, business proces...",https://www.naukri.com/job-listings-python-developer-realizer-techonlogies-pune-2-to-3-years-280525503695,"python, css, natural language processing, python development, numpy, machine learning, artificial intelligence, javascript",3+ weeks ago
Python Developer,Apex 2000 INC,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",4-7 Yrs,Apex 2000 INC is looking for Python Developer to join our dynamic team and embark on a ...,https://www.naukri.com/job-listings-python-developer-apex-2000-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-7-years-170625504835,"css, apex, sql, docker, git, data science, postgresql, linux",2 weeks ago
"AI,ML Python Developer",Avisoft,"Mumbai, Delhi / NCR, Bengaluru",4-7 Yrs,"Bachelors degree in Computer Science, Information Technology, or a related field. We ar...",https://www.naukri.com/job-listings-ai-ml-python-developer-avisoft-mumbai-delhi-ncr-bengaluru-4-to-7-years-230625923498,"Python, Unit Testing, Sage maker, Design Patterns, pytest, PySpark, Python Developer, AI",1 week ago
Python Developer,Centralogic,Pune,2-5 Yrs,"Skills Preferred: Data Analytics, PyTorch, LLMS, RAG, PANDAS . Qualification: Any - (BE...",https://www.naukri.com/job-listings-python-developer-centralogic-pune-2-to-5-years-240125501359,"python, css, data analytics, natural language processing, python development, numpy, machine learning, artificial intelligence",3+ weeks ago
Python Developer,Cogent Soft Solution,Ahmedabad,2-4 Yrs,Cogent Soft Solution is looking for Python Developer to join our dynamic team and embar...,https://www.naukri.com/job-listings-python-developer-cogent-soft-solution-ahmedabad-2-to-4-years-200225503756,"python, css, software testing, natural language processing, python development, machine learning, artificial intelligence, javascript",3+ weeks ago
Python Developer,Appzlogic,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",0-3 Yrs,Appzlogic Mobility Solutions Pvt Ltd is looking for Python Developer to join our dynami...,https://www.naukri.com/job-listings-python-developer-appzlogic-mobility-solutions-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-121124502854,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",3+ weeks ago
Python Developer,MWB Technologies,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",2-6 Yrs,MWB Technologies is looking for Python Developer to join our dynamic team and embark on...,https://www.naukri.com/job-listings-python-developer-mwb-technologies-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-6-years-041024501749,"python, css, c, software testing, natural language processing, python development, machine learning, artificial intelligence",3+ weeks ago
