Title,Company,Location,Experience,Description,Apply Link,Tags,Posted
Python Automation Engineer-SDET,Benison Technologies,Pune,2-7 Yrs,"Expert at test automation, creating test plans for testing product modules . Good under...",https://www.naukri.com/job-listings-python-automation-engineer-sdet-benison-technologies-pvt-ltd-india-pune-2-to-7-years-040725503542,"Unix, automation framework, Automation, Manager Quality Assurance, Agile, Test planning, Scrum, Selenium",1 day ago
QA Automation Engineer (Python + Selenium),Phenom People,Hyderabad,3-5 Yrs,Job SummaryWe are seeking a highly skilled and motivated Automation Test Engineer with...,https://www.naukri.com/job-listings-qa-automation-engineer-python-selenium-phenom-people-hyderabad-3-to-5-years-300625014513,"Api Automation, Selenium, Python, Robot Framework, Pytest, Automation, Framework, QA automation",5 days ago
Python Selenium Automation Engineer,Infosys,Pune,5-8 Yrs,"Bachelor of Engineering, Bachelor Of Technology, Bachelor Of Science, Bachelor Of CompP...",https://www.naukri.com/job-listings-python-selenium-automation-engineer-infosys-limited-pune-5-to-8-years-270625921202,"python, automation testing, selenium, debugging, software quality assurance, javascript, java, selenium automation",1 week ago
Python Selenium Automation Engineer,Clifyx Technology,Bengaluru,3-6 Yrs,Clifyx Technology. is looking for Python Selenium Automation Engineer to join our dynam...,https://www.naukri.com/job-listings-python-selenium-automation-engineer-clifyx-technology-bengaluru-3-to-6-years-170225504032,"rest, python, github, c++, c, software testing, regression testing, automation testing",3+ weeks ago
Selenium Python Automation Engineer – Robot Framework,Leading Client,Hyderabad,4-9 Yrs,"Experience in handling dynamic web elements, waits, and page object model (POM)Experien...",https://www.naukri.com/job-listings-selenium-python-automation-engineer-robot-framework-ideslabs-private-limited-hyderabad-4-to-9-years-270625915605,"continuous integration, python, selenium webdriver, debugging, automation studio, robot framework, version control, automation testing",1 week ago
Python Automation Engineer - PyTest/Selenium,Maimsd Technology,Hybrid - Pune,6-11 Yrs,- 6 to 12 years of hands-on experience in Python-based automation. - Strong working kno...,https://www.naukri.com/job-listings-python-automation-engineer-pytest-selenium-maimsd-technology-pune-6-to-11-years-260625928787,"Python Automation, Performance Testing, Software Quality Assurance, API Testing, Automation Testing, Application Testing, Selenium, Microservices Testing",1 week ago
Senior Automation Engineer with Python & Selenium,Algoshack Technologies,"Hyderabad, Bengaluru",4-7 Yrs,5+ years of experience in automation testing. . Strong programming skills in Python. . ...,https://www.naukri.com/job-listings-senior-automation-engineer-with-python-selenium-algoshack-technologies-hyderabad-bengaluru-4-to-7-years-120325501509,"Automation, GIT, Linux, Test scripts, GCP, Analytical, Agile, Selenium",3+ weeks ago
QA Automation Engineer (Python + Selenium),Phenom,Hyderabad,3-4 Yrs,We are seeking a highly skilled and motivated Automation Test Engineer with hands-on ex...,https://www.naukri.com/job-listings-qa-automation-engineer-python-selenium-phenom-hyderabad-3-to-4-years-190625026374,"Selenium, Python, API Testing, Automation Testing, Software testing, Quality assurance, API, Automation",2 weeks ago
QA Automation Engineer (Selenium + Python),Omnicom Media Group,"Hyderabad, Chennai, Bengaluru",5-9 Yrs,Required Skills: . 5+ years of hands-on QA automation experienceThe ideal candidate wil...,https://www.naukri.com/job-listings-qa-automation-engineer-selenium-python-omnicom-media-group-hyderabad-chennai-bengaluru-5-to-9-years-010725015363,"Python Testing, Github, Ci/Cd, Bitbucket, Selenium, Jenkins, GCP, Pytest",4 days ago
Python-Selenium-SDET(PUNE) -5+ Yrs -Hybrid,Databuzz ltd,Hybrid - Pune,5-10 Yrs,Databuzz is Hiring for Python-Selenium-SDET(PUNE) -5+ Yrs -Hybrid- Immediate joinersPle...,https://www.naukri.com/job-listings-python-selenium-sdet-pune-5-yrs-hybrid-databuzz-pune-5-to-10-years-160625004393,"SDET, Selenium, Python",2 weeks ago
SDET Engineer,Entrata India,Pune,2-5 Yrs,"Responsibilities will include Write, review and implement efficient, readable, testable...",https://www.naukri.com/job-listings-sdet-engineer-entrata-india-private-limited-pune-2-to-5-years-110625912810,"selenium, Maven, Java, Azure, Github, PostgreSQL, SDLC, API testing",3 weeks ago
